normalized_name,company_rows,display_names
alice bob,5,Alice & Bob
h,5,H Company
numalis,4,Numalis
aikido security,3,Aikido Security
biolevate,3,Biolevate
diamfab,3,Diamfab
duke analytics,3,Duke Analytics
dust,3,Dust
enline,3,Enline
label4 ai,3,Label4 AI | Label4.AI | Label4.ai
mendo,3,Mendo
multiverse computing,3,Multiverse Computing
seedext,3,Seedext
sonaid,3,Sonaid
thunders,3,Thunders
whitelab genomics,3,Whitelab Genomics | Whitelab Genomics
ai verse,2,AI Verse
alpic,2,Alpic
alterskin,2,Alterskin®
alyce,2,Alyce
amical,2,Amical
aml factory,2,Aml Factory
anemon sensors,2,Anemon Sensors
anozr way,2,Anozr Way
artinleap,2,ArtInLeap | Artinleap
asilla,2,"Asilla, Inc."
audensiel,2,Audensiel
awiros,2,Awiros
b10sec,2,B10sec
beams,2,Beams
bridge in,2,Bridge in
callendar,2,Callendar
chapsvision,2,Chapsvision
ciblijob,2,Ciblijob
clever cloud,2,Clever Cloud
clickncrypt,2,Clickncrypt
coachello,2,Coachello
complear,2,Complear
corai by baker park,2,Corai by Baker Park
cropx,2,Cropx
