left_tag,right_tag,company_count
Artificial Intelligence & Robotics,DeepTech,406
Artificial Intelligence & Robotics,Growth & Startup & Investment,316
Artificial Intelligence & Robotics,Consulting & B2B services,248
Artificial Intelligence & Robotics,Industry & Supply Chain,194
Artificial Intelligence & Robotics,Healthcare & Wellness,194
Artificial Intelligence & Robotics,Sovereignty & GovTech,175
DeepTech,Growth & Startup & Investment,174
Artificial Intelligence & Robotics,Cloud & Infrastructure & Connectivity,168
DeepTech,Healthcare & Wellness,165
DeepTech,Energy & Greentech,164
Artificial Intelligence & Robotics,Fintech & Banking & Compliance,163
Artificial Intelligence & Robotics,Energy & Greentech,163
Artificial Intelligence & Robotics,Cybersecurity & Defense,155
Energy & Greentech,Industry & Supply Chain,152
Artificial Intelligence & Robotics,HR & EdTech & Future of Work,147
Artificial Intelligence & Robotics,Mobility & Smart Cities,138
Energy & Greentech,Mobility & Smart Cities,138
Energy & Greentech,Growth & Startup & Investment,130
DeepTech,Industry & Supply Chain,123
Artificial Intelligence & Robotics,Retail & E-commerce,120
Growth & Startup & Investment,Healthcare & Wellness,120
Consulting & B2B services,Growth & Startup & Investment,102
Growth & Startup & Investment,Industry & Supply Chain,101
Cybersecurity & Defense,Sovereignty & GovTech,96
Consulting & B2B services,Fintech & Banking & Compliance,93
Luxury & Fashion & Cosmetics,Retail & E-commerce,88
Artificial Intelligence & Robotics,Marketing & Advertising,86
Growth & Startup & Investment,Mobility & Smart Cities,79
DeepTech,Sovereignty & GovTech,78
Cloud & Infrastructure & Connectivity,Sovereignty & GovTech,76
