tag,company_count,company_share,company_share_pct,speaker_count,speaker_share,speaker_share_pct,speaker_per_100_tagged_companies,speaker_minus_company_share_pp
Growth & Startup & Investment,809,0.2566,25.7,153,0.135,13.5,18.9,-12.2
Industry & Supply Chain,565,0.1792,17.9,66,0.0583,5.8,11.7,-12.1
Energy & Greentech,590,0.1871,18.7,97,0.0856,8.6,16.4,-10.2
Retail & E-commerce,337,0.1069,10.7,6,0.0053,0.5,1.8,-10.2
Consulting & B2B services,480,0.1522,15.2,75,0.0662,6.6,15.6,-8.6
DeepTech,789,0.2502,25.0,193,0.1703,17.0,24.5,-8.0
Mobility & Smart Cities,368,0.1167,11.7,46,0.0406,4.1,12.5,-7.6
Healthcare & Wellness,503,0.1595,16.0,112,0.0989,9.9,22.3,-6.1
Fintech & Banking & Compliance,354,0.1123,11.2,63,0.0556,5.6,17.8,-5.7
Luxury & Fashion & Cosmetics,211,0.0669,6.7,29,0.0256,2.6,13.7,-4.1
Media & Entertainment & Creators Economy,175,0.0555,5.6,95,0.0838,8.4,54.3,2.8
Food & Agriculture,177,0.0561,5.6,33,0.0291,2.9,18.6,-2.7
HR & EdTech & Future of Work,284,0.0901,9.0,74,0.0653,6.5,26.1,-2.5
Sovereignty & GovTech,387,0.1227,12.3,118,0.1041,10.4,30.5,-1.9
Space & Aeronautics,153,0.0485,4.9,33,0.0291,2.9,21.6,-1.9
Cloud & Infrastructure & Connectivity,305,0.0967,9.7,93,0.0821,8.2,30.5,-1.5
Artificial Intelligence & Robotics,1513,0.4799,48.0,528,0.466,46.6,34.9,-1.4
Marketing & Advertising,224,0.071,7.1,67,0.0591,5.9,29.9,-1.2
Gaming & Sports & Esports,71,0.0225,2.3,35,0.0309,3.1,49.3,0.8
Diversity & Inclusion,146,0.0463,4.6,59,0.0521,5.2,40.4,0.6
Cybersecurity & Defense,312,0.099,9.9,114,0.1006,10.1,36.5,0.2
